ID,Label,Elevation (Ground) (m),Elevation (Rim) (m),X (m),Y (m),Bolted Cover?,Elevation (Invert) (m),Flow (Total In) (m³/h),Flow (Total Out) (m³/h),Hydraulic Grade Line (Out) (m),Hydraulic Grade Line (In) (m),Sanitary Loads,Notes,Population (Local Sanitary) (Capita),Is Active?,MH BY YG
643,MH112,0,0,164422.29,579061.1,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
644,MH113,0,0,164422.45,579036.81,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
645,MH114,0,0,164468.49,579216.04,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
646,MH115,0,0,164227.34,578980.75,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
647,MH116,0,0,164365.17,579212.74,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
648,MH117,0,0,164375.49,579207.14,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
649,MH118,0,0,164410.56,579191.13,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
650,MH119,0,0,164418.29,579190.99,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
651,MH120,0,0,164437.04,579182.84,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
652,MH121,0,0,164350.4,579157.77,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
653,MH122,0,0,164376.59,579145.78,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
654,MH123,0,0,164394.91,579139.23,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
655,MH124,0,0,164416.03,579132.89,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
656,MH125,0,0,164358.53,579086.48,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
657,MH126,0,0,164260.95,578977.57,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
658,MH127,0,0,164382.57,579083.2,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
659,MH128,0,0,164402.76,579081.23,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
660,MH129,0,0,164354.43,579232.39,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
661,MH130,0,0,164350.42,579214.43,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
662,MH131,0,0,164340.34,579192.19,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
663,MH132,0,0,164331.1,579169.51,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
664,MH133,0,0,164327.14,579148.42,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
665,MH134,0,0,164323.06,579127.31,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
666,MH135,0,0,164319.46,579106.35,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
667,MH136,0,0,164319.52,579091.37,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
668,MH137,0,0,164229.2,579004.56,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
669,MH138,0,0,164319.69,579073.04,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
670,MH139,0,0,164314.3,579045.76,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
671,MH140,0,0,164213.3,579095.23,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
672,MH141,0,0,164233.01,579094.97,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
673,MH142,0,0,164248.55,579093.26,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
674,MH143,0,0,164273.56,579091.58,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
675,MH144,0,0,164294.55,579089.47,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
676,MH145,0,0,164309.41,579089.15,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
677,MH146,0,0,164170.65,579098.9,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
678,MH147,0,0,164151.43,579100.7,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
679,MH148,0,0,164260.42,578962.23,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
680,MH149,0,0,164133.84,579102.58,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
687,MH150,121.08,121.08,163786.54,581180.43,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
690,MH151,0,0,164123.3,578946.93,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
701,MH152,0,0,162942.91,579740.55,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
702,MH153,0,0,164137.74,578945.73,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
713,MH154,0,0,164153.81,578944.5,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
724,MH155,0,0,164180.35,578942.47,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
